position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,9/1/24,8/31/25,RSW PREMIER HOLDINGS LLC,10825 E KESWICK RD,109,0.202,40.077954,-74.984925
2,9/1/24,8/31/25,AVENUE APARTMENTS LLC,5450 WISSAHICKON AVE,99,0.202,40.024495,-75.181065
3,9/1/24,8/31/25,HENRY ON THE PARK LLC,7901 HENRY AVE,96,0.202,40.05659,-75.230295
4,9/1/24,8/31/25,KRE MREG CITY AVE OWNER LLC,3850 CITY AVE,92,0.202,40.008195,-75.207669
5,9/1/24,8/31/25,SGYS ST. IVES LLC,3000 WOODHAVEN RD,91,0.202,40.096441,-74.984847
6,9/1/24,8/31/25,"LP, POST RITTENHOUSE HILL",633 W RITTENHOUSE ST,89,0.202,40.030354,-75.184491
7,9/1/24,8/31/25,ADAMS RUN HOLDING COMPANY LLC,155 E GODFREY AVE,71,0.202,40.045426,-75.114733
8,9/1/24,8/31/25,EASTWICK JOINT VENTURE,7701 LINDBERGH BLVD,70,0.202,39.904821,-75.243028
9,9/1/24,8/31/25,MP PORTFOLIO HOLDINGS LLC,3400 RED LION RD,55,0.202,40.073832,-74.986008
10,9/1/24,8/31/25,WYNNEFIELD TERR ASSOC,4991 PARKSIDE AVE,52,0.202,39.988999,-75.22465
11,9/1/24,8/31/25,POPLAR GROUND TENANT LLC,900-58 N 9TH ST,49,0.202,39.969052,-75.151606
12,9/1/24,8/31/25,L3C ALDEN PARK APARTMENTS LLC,2967 W SCHOOL HOUSE LN,49,0.202,40.024767,-75.184052
13,9/1/24,8/31/25,CHV INVESTMENT LP,7715 CRITTENDEN ST,48,0.202,40.074388,-75.193592
14,9/1/24,8/31/25,DFH REGENCY LLC,5600 OGONTZ AVE,45,0.202,40.039567,-75.151279
15,9/1/24,8/31/25,EASTWICK JOINT VENTURE,8400 LINDBERGH BLVD,42,0.202,39.896152,-75.252079
16,9/1/24,8/31/25,"LP, HILLTOP CRESCENT",4901-37 STENTON AVE,41,0.202,40.02988,-75.158073
